Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
MXES,"Ensenada, Baja California, Mexico",31.8002,-116.6335,41,0.4659,,
BANP,"New Providence Island, Bahamas",25.0541,-77.3968,26,0.5909,,
PRCR,Cabo Rojo,18.0133,-67.1176,23,0.4071,,
VITO,"Tortola, British V.I.",18.3502,-64.6167,18,0.2105,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,13,0.0559,,
PRSB,San Juan Bay (retired),18.4167,-66.0333,11,0.4198,,
VISC,"St. Croix, USVI",17.7168,-64.7833,9,0.2687,,
PRFA,Fajardo,18.3162,-65.6957,6,0.0864,,
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,6,0.0189,,
CRLM,"Fila Costera (la Merced), Costa Rica",9.1404,-83.4639,6,0.0449,,
VISJ,"St. John, USVI",18.3502,-64.7000,6,0.1048,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,4,0.0342,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,4,0.0643,,
RDSB,"Salinas-Bani, Dominican Republic",18.2151,-70.5153,3,0.3750,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,2,0.0000,,
MXRE,"Rancho el Palomino, Chihuahua, Mexico",29.5823,-106.2827,1,0.0313,,
CLRP,"Reserva de Planalto, Caldas, Colombia",5.0098,-75.5889,1,0.0663,"US, ",
CRMO,"Monteverde, Costa Rica",10.2999,-84.7667,1,0.0041,,

