Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
BANP,"New Providence Island, Bahamas",25.0541,-77.3968,31,0.6327,,
PRCR,Cabo Rojo,18.0133,-67.1176,14,0.3836,,
VISJ,"St. John, USVI",18.3502,-64.7000,13,0.3824,,
PRFA,Fajardo,18.3162,-65.6957,12,0.2791,,
VITO,"Tortola, British V.I.",18.3502,-64.6167,9,0.1108,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,7,0.0433,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,7,0.0560,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,6,0.0293,,
HOLA,"Lancetilla, Honduras",15.7667,-87.4500,6,0.1250,,
RDSD,"Santo Domingo, Dominican Republic",18.3500,-70.2500,5,0.2174,,
CREB,"Estacion Biologica Cano Palma, Limon, Costa Rica",10.5834,-83.5333,2,0.0656,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,2,0.0317,,
CRMO,"Monteverde, Costa Rica",10.2999,-84.7667,2,0.0065,,
MXRE,"Rancho el Palomino, Chihuahua, Mexico",29.5823,-106.2827,1,0.0385,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,1,0.0082,,

