Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
BANP,"New Providence Island, Bahamas",25.0541,-77.3968,25,0.4950,,
VITO,"Tortola, British V.I.",18.3502,-64.6167,18,0.2011,"HC, ",
VISC,"St. Croix, USVI",17.7168,-64.7833,15,0.3077,,
PRCR,Cabo Rojo,18.0133,-67.1176,8,0.1871,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,7,0.0331,,
PRFA,Fajardo,18.3162,-65.6957,6,0.1057,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,4,0.0271,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,4,0.0678,,
PRSB,San Juan Bay (retired),18.4167,-66.0333,4,0.2133,,
RDSD,"Santo Domingo, Dominican Republic",18.3500,-70.2500,3,0.1364,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,3,0.0173,,
TRTR,Trinidad,10.6336,-61.3390,2,0.0342,,
CREB,"Estacion Biologica Cano Palma, Limon, Costa Rica",10.5834,-83.5333,2,0.1818,,
VIEE,"East End, St. Croix, USVI",17.7572,-64.5602,2,0.0952,,
CRMO,"Monteverde, Costa Rica",10.2999,-84.7667,1,0.0068,,
RDSB,"Salinas-Bani, Dominican Republic",18.2151,-70.5153,1,0.0909,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,1,0.0106,,

